omega;phi_set;final_com_dx;final_com_x;final_com_y;phi0;phi1;phi2;phi3
5.0;(np.float64(0.0), np.float64(0.0), np.float64(3.141592653589793), np.float64(3.141592653589793));1.311214351678095;1.3362143516780949;3.746711094548823;0.0;0.0;3.141592653589793;3.141592653589793
5.0;(np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(3.141592653589793));-0.19846828741768874;-0.17346828741768874;1.6351152172879897;0.0;0.0;0.0;3.141592653589793
5.0;(np.float64(0.0), np.float64(0.0), np.float64(6.283185307179586), np.float64(3.141592653589793));0.07462645280160343;0.09962645280160344;0.9822462451960797;0.0;0.0;6.283185307179586;3.141592653589793
5.0;(np.float64(0.0), np.float64(0.0), np.float64(3.141592653589793), np.float64(0.0));-0.007372478938621595;0.017627521061378406;0.4134981590273109;0.0;0.0;3.141592653589793;0.0
5.0;(np.float64(0.0), np.float64(0.0), np.float64(3.141592653589793), np.float64(6.283185307179586));-0.21624448190181733;-0.19124448190181734;0.3698318911655268;0.0;0.0;3.141592653589793;6.283185307179586
5.0;(np.float64(0.0), np.float64(3.141592653589793), np.float64(0.0), np.float64(0.0));0.9778203169986682;1.0028203169986682;3.1923746774381465;0.0;3.141592653589793;0.0;0.0
5.0;(np.float64(0.0), np.float64(3.141592653589793), np.float64(0.0), np.float64(3.141592653589793));0.021131058565442604;0.046131058565442605;0.22562157859244858;0.0;3.141592653589793;0.0;3.141592653589793
5.0;(np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0));-1.0873975012190562e-05;0.02498912602498781;0.006450015932326448;0.0;0.0;0.0;0.0
5.0;(np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(6.283185307179586));3.4413362925353463e-05;0.025034413362925355;0.006464639204223311;0.0;0.0;0.0;6.283185307179586
5.0;(np.float64(0.0), np.float64(0.0), np.float64(6.283185307179586), np.float64(0.0));-5.900299715911467e-06;0.02499409970028409;0.006451701426501165;0.0;0.0;6.283185307179586;0.0
5.0;(np.float64(0.0), np.float64(3.141592653589793), np.float64(3.141592653589793), np.float64(0.0));-0.18518660357908365;-0.16018660357908365;6.421215036435978;0.0;3.141592653589793;3.141592653589793;0.0
5.0;(np.float64(0.0), np.float64(3.141592653589793), np.float64(0.0), np.float64(6.283185307179586));-1.0008714415832038;-0.9758714415832038;2.410098294347674;0.0;3.141592653589793;0.0;6.283185307179586
5.0;(np.float64(0.0), np.float64(3.141592653589793), np.float64(3.141592653589793), np.float64(3.141592653589793));-4.789665192239667e-12;0.024999999995210336;0.0455057682981347;0.0;3.141592653589793;3.141592653589793;3.141592653589793
5.0;(np.float64(0.0), np.float64(3.141592653589793), np.float64(3.141592653589793), np.float64(6.283185307179586));0.5621550231219808;0.5871550231219809;2.361188076247247;0.0;3.141592653589793;3.141592653589793;6.283185307179586
5.0;(np.float64(0.0), np.float64(0.0), np.float64(6.283185307179586), np.float64(6.283185307179586));6.606063468750367e-07;0.025000660606346876;0.00646976074318516;0.0;0.0;6.283185307179586;6.283185307179586
5.0;(np.float64(0.0), np.float64(3.141592653589793), np.float64(6.283185307179586), np.float64(0.0));-0.8334764298862637;-0.8084764298862637;1.8521149219933775;0.0;3.141592653589793;6.283185307179586;0.0
5.0;(np.float64(0.0), np.float64(3.141592653589793), np.float64(6.283185307179586), np.float64(3.141592653589793));-0.5459288395594268;-0.5209288395594268;1.2319715792563464;0.0;3.141592653589793;6.283185307179586;3.141592653589793
5.0;(np.float64(0.0), np.float64(3.141592653589793), np.float64(6.283185307179586), np.float64(6.283185307179586));0.6095990180877622;0.6345990180877622;1.9649703477217535;0.0;3.141592653589793;6.283185307179586;6.283185307179586
5.0;(np.float64(0.0), np.float64(6.283185307179586), np.float64(0.0), np.float64(3.141592653589793));-0.4683149065691068;-0.44331490656910677;1.494023309278643;0.0;6.283185307179586;0.0;3.141592653589793
5.0;(np.float64(0.0), np.float64(6.283185307179586), np.float64(3.141592653589793), np.float64(3.141592653589793));0.19624578974759885;0.22124578974759884;3.0284015367798944;0.0;6.283185307179586;3.141592653589793;3.141592653589793
5.0;(np.float64(0.0), np.float64(6.283185307179586), np.float64(6.283185307179586), np.float64(3.141592653589793));1.219678565599693;1.2446785655996928;4.480053365917004;0.0;6.283185307179586;6.283185307179586;3.141592653589793
5.0;(np.float64(0.0), np.float64(6.283185307179586), np.float64(3.141592653589793), np.float64(0.0));-1.9120313291976105;-1.8870313291976106;6.022454715424058;0.0;6.283185307179586;3.141592653589793;0.0
5.0;(np.float64(0.0), np.float64(6.283185307179586), np.float64(3.141592653589793), np.float64(6.283185307179586));-0.7758898480325167;-0.7508898480325167;2.2353164448930585;0.0;6.283185307179586;3.141592653589793;6.283185307179586
5.0;(np.float64(0.0), np.float64(6.283185307179586), np.float64(0.0), np.float64(0.0));-3.7972001884222645e-05;0.02496202799811578;0.006478143674201384;0.0;6.283185307179586;0.0;0.0
5.0;(np.float64(0.0), np.float64(6.283185307179586), np.float64(0.0), np.float64(6.283185307179586));-1.5626849923632696e-05;0.02498437315007637;0.006472328876827052;0.0;6.283185307179586;0.0;6.283185307179586
5.0;(np.float64(3.141592653589793), np.float64(0.0), np.float64(0.0), np.float64(3.141592653589793));-0.009169269741697385;0.015830730258302617;0.06741081105518042;3.141592653589793;0.0;0.0;3.141592653589793
5.0;(np.float64(0.0), np.float64(6.283185307179586), np.float64(6.283185307179586), np.float64(0.0));2.455673380178866e-05;0.02502455673380179;0.0064526440627203415;0.0;6.283185307179586;6.283185307179586;0.0
